origin_port,origin_name,destination_port,destination_name,carrier,vessel_name,departure_date,scheduled_arrival,actual_arrival,scheduled_days,actual_days,delay_days,year,month,on_time,id
TWTXG,Taichung,USLAX,Los Angeles,ONE (Ocean Network Express),COSCO Triumph,2022-06-12,2022-06-26,2022-06-26,14,14,0,2022,6,True,470
TWKHH,Kaohsiung,USLAX,Los Angeles,ONE (Ocean Network Express),ONE Triumph,2022-06-12,2022-06-26,2022-06-26,14,14,0,2022,6,True,471
TWTXG,Taichung,USLAX,Los Angeles,HMM,Maersk Unity,2022-06-12,2022-06-26,2022-06-26,14,14,0,2022,6,True,472
TWKHH,Kaohsiung,USLAX,Los Angeles,HMM,MSC Triumph,2022-06-11,2022-06-25,2022-06-25,14,14,0,2022,6,True,473
TWTXG,Taichung,USLAX,Los Angeles,ONE (Ocean Network Express),Maersk Pioneer,2022-06-17,2022-07-01,2022-07-02,14,15.2,1.2,2022,6,False,474
TWTPE,Taipei (Keelung),USLAX,Los Angeles,ONE (Ocean Network Express),Yang Ming Crown,2022-06-16,2022-07-01,2022-07-02,15,16.7,1.7,2022,6,False,475
TWTPE,Taipei (Keelung),USSEA,Seattle,Yang Ming,COSCO Triumph,2022-06-13,2022-06-27,2022-06-27,14,14,0,2022,6,True,476
TWTPE,Taipei (Keelung),USSEA,Seattle,COSCO Shipping,ONE Glory,2022-06-17,2022-07-01,2022-07-01,14,14.2,0.2,2022,6,True,477
TWTPE,Taipei (Keelung),USSEA,Seattle,COSCO Shipping,Ever Star,2022-06-13,2022-06-27,2022-06-27,14,14,0,2022,6,True,478
TWTXG,Taichung,USLAX,Los Angeles,Yang Ming,Maersk Fortune,2022-06-15,2022-06-29,2022-07-06,14,21.5,7.5,2022,6,False,479
TWTPE,Taipei (Keelung),USLGB,Long Beach,MSC,COSCO Excellence,2022-06-16,2022-07-01,2022-07-01,15,15.8,0.8,2022,6,True,480
TWKHH,Kaohsiung,USOAK,Oakland,ONE (Ocean Network Express),Maersk Glory,2022-06-19,2022-07-02,2022-07-02,13,13,0,2022,6,True,481
TWTXG,Taichung,USLAX,Los Angeles,Maersk Line,Wan Hai Glory,2022-06-22,2022-07-06,2022-07-06,14,14,0,2022,6,True,482
TWTXG,Taichung,USOAK,Oakland,Maersk Line,MSC Progress,2022-06-22,2022-07-06,2022-07-06,14,14,0,2022,6,True,483
TWTPE,Taipei (Keelung),USSEA,Seattle,COSCO Shipping,ONE Excellence,2022-06-24,2022-07-08,2022-07-08,14,14,0,2022,6,True,484
TWTPE,Taipei (Keelung),USSEA,Seattle,Evergreen Marine,COSCO Glory,2022-06-22,2022-07-06,2022-07-06,14,14,0,2022,6,True,485
TWTPE,Taipei (Keelung),USLAX,Los Angeles,COSCO Shipping,MSC Star,2022-06-21,2022-07-06,2022-07-06,15,15,0,2022,6,True,486
TWKHH,Kaohsiung,USOAK,Oakland,MSC,Maersk Success,2022-06-21,2022-07-04,2022-07-04,13,13,0,2022,6,True,487
TWKHH,Kaohsiung,USOAK,Oakland,Maersk Line,Ever Pioneer,2022-06-19,2022-07-02,2022-07-02,13,13,0,2022,6,True,488
TWTXG,Taichung,USOAK,Oakland,Wan Hai Lines,COSCO Excellence,2022-06-18,2022-07-02,2022-07-03,14,15.8,1.8,2022,6,False,489
TWTPE,Taipei (Keelung),USLGB,Long Beach,Maersk Line,Yang Ming Star,2022-06-22,2022-07-07,2022-07-07,15,15.5,0.5,2022,6,True,490
TWTXG,Taichung,USLGB,Long Beach,COSCO Shipping,Yang Ming Star,2022-06-21,2022-07-05,2022-07-05,14,14,0,2022,6,True,491
TWKHH,Kaohsiung,USOAK,Oakland,COSCO Shipping,Yang Ming Pearl,2022-06-19,2022-07-02,2022-07-03,13,14.4,1.4,2022,6,False,492
TWKHH,Kaohsiung,USOAK,Oakland,Yang Ming,Ever Diamond,2022-06-19,2022-07-02,2022-07-02,13,13,0,2022,6,True,493
TWKHH,Kaohsiung,USSEA,Seattle,Evergreen Marine,ONE Pearl,2022-06-22,2022-07-04,2022-07-04,12,12,0,2022,6,True,494
TWTXG,Taichung,USLAX,Los Angeles,HMM,Wan Hai Unity,2022-06-24,2022-07-08,2022-07-09,14,15.5,1.5,2022,6,False,495
TWTPE,Taipei (Keelung),USSEA,Seattle,Maersk Line,COSCO Triumph,2022-06-22,2022-07-06,2022-07-06,14,14.1,0.1,2022,6,True,496
TWTXG,Taichung,USOAK,Oakland,COSCO Shipping,ONE Unity,2022-06-21,2022-07-05,2022-07-05,14,14,0,2022,6,True,497
TWKHH,Kaohsiung,USLAX,Los Angeles,ONE (Ocean Network Express),COSCO Success,2022-06-22,2022-07-06,2022-07-06,14,14,0,2022,6,True,498
TWKHH,Kaohsiung,USOAK,Oakland,Wan Hai Lines,COSCO Glory,2022-06-21,2022-07-04,2022-07-04,13,13,0,2022,6,True,499
TWTXG,Taichung,USSEA,Seattle,Evergreen Marine,Ever Ace,2022-06-20,2022-07-04,2022-07-04,14,14,0,2022,6,True,500
TWTPE,Taipei (Keelung),USSEA,Seattle,Wan Hai Lines,Yang Ming Pearl,2022-06-28,2022-07-12,2022-07-12,14,14.5,0.5,2022,6,True,501
TWKHH,Kaohsiung,USLGB,Long Beach,COSCO Shipping,MSC Leader,2022-06-30,2022-07-14,2022-07-16,14,16.4,2.4,2022,6,False,502
TWTXG,Taichung,USLAX,Los Angeles,Wan Hai Lines,COSCO Glory,2022-06-26,2022-07-10,2022-07-10,14,14,0,2022,6,True,503
TWKHH,Kaohsiung,USLAX,Los Angeles,Evergreen Marine,Ever Crown,2022-06-28,2022-07-12,2022-07-12,14,14.1,0.1,2022,6,True,504
TWTPE,Taipei (Keelung),USLAX,Los Angeles,Maersk Line,Maersk Triumph,2022-06-25,2022-07-10,2022-07-10,15,15,0,2022,6,True,505
TWKHH,Kaohsiung,USSEA,Seattle,COSCO Shipping,Yang Ming Star,2022-06-27,2022-07-09,2022-07-09,12,12,0,2022,6,True,506
TWTPE,Taipei (Keelung),USSEA,Seattle,Wan Hai Lines,Yang Ming Success,2022-06-30,2022-07-14,2022-07-14,14,14,0,2022,6,True,507
TWKHH,Kaohsiung,USLAX,Los Angeles,MSC,ONE Diamond,2022-06-25,2022-07-09,2022-07-09,14,14,0,2022,6,True,508
TWTPE,Taipei (Keelung),USSEA,Seattle,Maersk Line,Maersk Progress,2022-06-28,2022-07-12,2022-07-12,14,14,0,2022,6,True,509
TWKHH,Kaohsiung,USLGB,Long Beach,HMM,MSC Star,2022-06-29,2022-07-13,2022-07-13,14,14,0,2022,6,True,510
TWTXG,Taichung,USSEA,Seattle,Maersk Line,Wan Hai Progress,2022-06-29,2022-07-13,2022-07-13,14,14,0,2022,6,True,511
TWTXG,Taichung,USLGB,Long Beach,Yang Ming,COSCO Leader,2022-07-01,2022-07-15,2022-07-15,14,14,0,2022,7,True,512
TWTPE,Taipei (Keelung),USSEA,Seattle,Wan Hai Lines,Wan Hai Fortune,2022-06-27,2022-07-11,2022-07-11,14,14,0,2022,6,True,513
TWKHH,Kaohsiung,USLGB,Long Beach,Maersk Line,COSCO Success,2022-06-27,2022-07-11,2022-07-11,14,14,0,2022,6,True,514
TWKHH,Kaohsiung,USSEA,Seattle,HMM,Wan Hai Fortune,2022-07-01,2022-07-13,2022-07-13,12,12,0,2022,7,True,515
TWTPE,Taipei (Keelung),USOAK,Oakland,COSCO Shipping,ONE Fortune,2022-06-29,2022-07-13,2022-07-13,14,14.3,0.3,2022,6,True,516
TWTXG,Taichung,USOAK,Oakland,ONE (Ocean Network Express),Maersk Pioneer,2022-06-26,2022-07-10,2022-07-10,14,14.1,0.1,2022,6,True,517
TWTPE,Taipei (Keelung),USLGB,Long Beach,ONE (Ocean Network Express),ONE Pioneer,2022-06-26,2022-07-11,2022-07-11,15,15,0,2022,6,True,518
TWKHH,Kaohsiung,USOAK,Oakland,ONE (Ocean Network Express),MSC Champion,2022-06-25,2022-07-08,2022-07-08,13,13,0,2022,6,True,519
TWTXG,Taichung,USOAK,Oakland,Maersk Line,COSCO Champion,2022-06-27,2022-07-11,2022-07-11,14,14.3,0.3,2022,6,True,520
TWKHH,Kaohsiung,USLGB,Long Beach,COSCO Shipping,Wan Hai Success,2022-07-05,2022-07-19,2022-07-19,14,14,0,2022,7,True,521
TWTXG,Taichung,USOAK,Oakland,HMM,MSC Champion,2022-07-08,2022-07-22,2022-07-22,14,14.2,0.2,2022,7,True,522
TWKHH,Kaohsiung,USSEA,Seattle,Wan Hai Lines,Wan Hai Diamond,2022-07-04,2022-07-16,2022-07-16,12,12,0,2022,7,True,523
TWKHH,Kaohsiung,USSEA,Seattle,HMM,Maersk Leader,2022-07-07,2022-07-19,2022-07-19,12,12.2,0.2,2022,7,True,524
TWTXG,Taichung,USSEA,Seattle,Wan Hai Lines,Maersk Excellence,2022-07-03,2022-07-17,2022-07-17,14,14,0,2022,7,True,525
TWTPE,Taipei (Keelung),USSEA,Seattle,Wan Hai Lines,Ever Success,2022-07-04,2022-07-18,2022-07-18,14,14,0,2022,7,True,526
TWKHH,Kaohsiung,USSEA,Seattle,Maersk Line,Maersk Excellence,2022-07-04,2022-07-16,2022-07-16,12,12,0,2022,7,True,527
TWTPE,Taipei (Keelung),USLAX,Los Angeles,ONE (Ocean Network Express),MSC Triumph,2022-07-08,2022-07-23,2022-07-23,15,15,0,2022,7,True,528
TWKHH,Kaohsiung,USOAK,Oakland,COSCO Shipping,Wan Hai Star,2022-07-08,2022-07-21,2022-07-21,13,13,0,2022,7,True,529
TWKHH,Kaohsiung,USSEA,Seattle,HMM,ONE Success,2022-07-03,2022-07-15,2022-07-15,12,12,0,2022,7,True,530
TWKHH,Kaohsiung,USOAK,Oakland,ONE (Ocean Network Express),MSC Excellence,2022-07-04,2022-07-17,2022-07-17,13,13.3,0.3,2022,7,True,531
TWKHH,Kaohsiung,USLAX,Los Angeles,Yang Ming,Ever Pearl,2022-07-06,2022-07-20,2022-07-20,14,14,0,2022,7,True,532
TWKHH,Kaohsiung,USLGB,Long Beach,Evergreen Marine,Yang Ming Glory,2022-07-08,2022-07-22,2022-07-22,14,14,0,2022,7,True,533
TWTPE,Taipei (Keelung),USLGB,Long Beach,Evergreen Marine,Maersk Ace,2022-07-02,2022-07-17,2022-07-17,15,15,0,2022,7,True,534
TWTPE,Taipei (Keelung),USSEA,Seattle,Maersk Line,Ever Excellence,2022-07-06,2022-07-20,2022-07-20,14,14,0,2022,7,True,535
TWKHH,Kaohsiung,USLAX,Los Angeles,COSCO Shipping,MSC Progress,2022-07-02,2022-07-16,2022-07-16,14,14,0,2022,7,True,536
TWKHH,Kaohsiung,USSEA,Seattle,Evergreen Marine,Wan Hai Success,2022-07-08,2022-07-20,2022-07-20,12,12,0,2022,7,True,537
TWTXG,Taichung,USSEA,Seattle,MSC,ONE Star,2022-07-08,2022-07-22,2022-07-22,14,14,0,2022,7,True,538
TWKHH,Kaohsiung,USOAK,Oakland,Evergreen Marine,MSC Glory,2022-07-06,2022-07-19,2022-07-19,13,13.8,0.8,2022,7,True,539
TWTPE,Taipei (Keelung),USLAX,Los Angeles,Yang Ming,Ever Star,2022-07-03,2022-07-18,2022-07-18,15,15,0,2022,7,True,540
TWKHH,Kaohsiung,USLGB,Long Beach,Evergreen Marine,MSC Crown,2022-07-14,2022-07-28,2022-07-28,14,14.5,0.5,2022,7,True,541
TWTXG,Taichung,USSEA,Seattle,Maersk Line,Maersk Fortune,2022-07-09,2022-07-23,2022-07-23,14,14,0,2022,7,True,542
TWTPE,Taipei (Keelung),USLGB,Long Beach,COSCO Shipping,Yang Ming Fortune,2022-07-11,2022-07-26,2022-07-26,15,15.2,0.2,2022,7,True,543
TWTXG,Taichung,USSEA,Seattle,Yang Ming,Yang Ming Pioneer,2022-07-12,2022-07-26,2022-07-27,14,15.5,1.5,2022,7,False,544
TWTPE,Taipei (Keelung),USSEA,Seattle,Wan Hai Lines,Wan Hai Glory,2022-07-10,2022-07-24,2022-07-24,14,14,0,2022,7,True,545
TWTPE,Taipei (Keelung),USLAX,Los Angeles,ONE (Ocean Network Express),Wan Hai Glory,2022-07-13,2022-07-28,2022-07-28,15,15,0,2022,7,True,546
TWTPE,Taipei (Keelung),USSEA,Seattle,Wan Hai Lines,ONE Triumph,2022-07-15,2022-07-29,2022-07-29,14,14.3,0.3,2022,7,True,547
TWTPE,Taipei (Keelung),USLGB,Long Beach,ONE (Ocean Network Express),MSC Unity,2022-07-12,2022-07-27,2022-07-27,15,15,0,2022,7,True,548
TWKHH,Kaohsiung,USLGB,Long Beach,Yang Ming,Wan Hai Crown,2022-07-10,2022-07-24,2022-07-24,14,14.1,0.1,2022,7,True,549
TWTPE,Taipei (Keelung),USOAK,Oakland,Yang Ming,Ever Ace,2022-07-14,2022-07-28,2022-07-28,14,14,0,2022,7,True,550
TWTPE,Taipei (Keelung),USSEA,Seattle,MSC,Yang Ming Excellence,2022-07-11,2022-07-25,2022-07-25,14,14,0,2022,7,True,551
TWTPE,Taipei (Keelung),USLAX,Los Angeles,Maersk Line,Yang Ming Excellence,2022-07-15,2022-07-30,2022-07-30,15,15,0,2022,7,True,552
TWTXG,Taichung,USSEA,Seattle,Wan Hai Lines,COSCO Fortune,2022-07-13,2022-07-27,2022-07-28,14,15.0,1.0,2022,7,False,553
TWKHH,Kaohsiung,USLGB,Long Beach,MSC,Yang Ming Crown,2022-07-14,2022-07-28,2022-07-28,14,14,0,2022,7,True,554
TWTXG,Taichung,USLAX,Los Angeles,Evergreen Marine,Yang Ming Unity,2022-07-09,2022-07-23,2022-07-23,14,14.0,0.0,2022,7,True,555
TWKHH,Kaohsiung,USOAK,Oakland,MSC,MSC Crown,2022-07-09,2022-07-22,2022-07-22,13,13,0,2022,7,True,556
TWKHH,Kaohsiung,USOAK,Oakland,HMM,Ever Excellence,2022-07-12,2022-07-25,2022-07-25,13,13,0,2022,7,True,557
TWKHH,Kaohsiung,USLGB,Long Beach,Maersk Line,Maersk Progress,2022-07-10,2022-07-24,2022-07-24,14,14,0,2022,7,True,558
TWTXG,Taichung,USLGB,Long Beach,Evergreen Marine,COSCO Unity,2022-07-14,2022-07-28,2022-07-28,14,14.1,0.1,2022,7,True,559
TWTXG,Taichung,USLAX,Los Angeles,Wan Hai Lines,Ever Leader,2022-07-11,2022-07-25,2022-07-25,14,14,0,2022,7,True,560
TWTPE,Taipei (Keelung),USSEA,Seattle,Maersk Line,Yang Ming Crown,2022-07-21,2022-08-04,2022-08-04,14,14,0,2022,7,True,561
TWKHH,Kaohsiung,USLAX,Los Angeles,Wan Hai Lines,Ever Crown,2022-07-17,2022-07-31,2022-08-03,14,17.1,3.1,2022,7,False,562
TWTXG,Taichung,USOAK,Oakland,COSCO Shipping,Maersk Champion,2022-07-20,2022-08-03,2022-08-03,14,14.6,0.6,2022,7,True,563
TWKHH,Kaohsiung,USLAX,Los Angeles,Yang Ming,MSC Crown,2022-07-18,2022-08-01,2022-08-01,14,14,0,2022,7,True,564
TWTPE,Taipei (Keelung),USLGB,Long Beach,HMM,MSC Ace,2022-07-20,2022-08-04,2022-08-05,15,16.1,1.1,2022,7,False,565
TWTPE,Taipei (Keelung),USLGB,Long Beach,ONE (Ocean Network Express),COSCO Progress,2022-07-22,2022-08-06,2022-08-06,15,15,0,2022,7,True,566
TWKHH,Kaohsiung,USLGB,Long Beach,COSCO Shipping,Ever Pioneer,2022-07-17,2022-07-31,2022-07-31,14,14,0,2022,7,True,567
TWKHH,Kaohsiung,USOAK,Oakland,COSCO Shipping,MSC Ace,2022-07-19,2022-08-01,2022-08-01,13,13,0,2022,7,True,568
TWKHH,Kaohsiung,USLGB,Long Beach,Wan Hai Lines,COSCO Pearl,2022-07-16,2022-07-30,2022-07-30,14,14,0,2022,7,True,569
TWTXG,Taichung,USSEA,Seattle,MSC,ONE Progress,2022-07-21,2022-08-04,2022-08-04,14,14,0,2022,7,True,570
TWKHH,Kaohsiung,USSEA,Seattle,Evergreen Marine,Maersk Star,2022-07-19,2022-07-31,2022-07-31,12,12,0,2022,7,True,571
TWTPE,Taipei (Keelung),USOAK,Oakland,Evergreen Marine,Maersk Glory,2022-07-19,2022-08-02,2022-08-04,14,16.0,2.0,2022,7,False,572
TWTPE,Taipei (Keelung),USSEA,Seattle,Evergreen Marine,Yang Ming Success,2022-07-22,2022-08-05,2022-08-05,14,14.0,0.0,2022,7,True,573
TWTXG,Taichung,USSEA,Seattle,Evergreen Marine,Maersk Pioneer,2022-07-21,2022-08-04,2022-08-04,14,14,0,2022,7,True,574
TWTXG,Taichung,USLAX,Los Angeles,Maersk Line,COSCO Pioneer,2022-07-17,2022-07-31,2022-07-31,14,14.5,0.5,2022,7,True,575
TWTPE,Taipei (Keelung),USOAK,Oakland,Wan Hai Lines,COSCO Leader,2022-07-19,2022-08-02,2022-08-02,14,14,0,2022,7,True,576
TWTXG,Taichung,USLAX,Los Angeles,Wan Hai Lines,COSCO Pearl,2022-07-21,2022-08-04,2022-08-04,14,14,0,2022,7,True,577
TWTXG,Taichung,USSEA,Seattle,Yang Ming,Yang Ming Crown,2022-07-16,2022-07-30,2022-07-30,14,14.5,0.5,2022,7,True,578
TWTXG,Taichung,USLGB,Long Beach,ONE (Ocean Network Express),Wan Hai Progress,2022-07-19,2022-08-02,2022-08-02,14,14,0,2022,7,True,579
TWKHH,Kaohsiung,USLGB,Long Beach,COSCO Shipping,COSCO Glory,2022-07-19,2022-08-02,2022-08-02,14,15.0,1.0,2022,7,True,580
TWTXG,Taichung,USLGB,Long Beach,Evergreen Marine,Ever Unity,2022-07-27,2022-08-10,2022-08-10,14,14.0,0.0,2022,7,True,581
TWTXG,Taichung,USLAX,Los Angeles,Maersk Line,COSCO Unity,2022-07-26,2022-08-09,2022-08-09,14,14,0,2022,7,True,582
TWTPE,Taipei (Keelung),USOAK,Oakland,MSC,Yang Ming Unity,2022-07-27,2022-08-10,2022-08-10,14,14.3,0.3,2022,7,True,583
TWTXG,Taichung,USSEA,Seattle,HMM,COSCO Crown,2022-07-27,2022-08-10,2022-08-13,14,17.8,3.8,2022,7,False,584
TWKHH,Kaohsiung,USLGB,Long Beach,Maersk Line,Yang Ming Fortune,2022-07-28,2022-08-11,2022-08-11,14,14,0,2022,7,True,585
TWKHH,Kaohsiung,USLAX,Los Angeles,Yang Ming,MSC Pearl,2022-07-26,2022-08-09,2022-08-09,14,14,0,2022,7,True,586
TWKHH,Kaohsiung,USSEA,Seattle,Evergreen Marine,Wan Hai Excellence,2022-07-26,2022-08-07,2022-08-07,12,12,0,2022,7,True,587
TWTXG,Taichung,USLGB,Long Beach,COSCO Shipping,MSC Leader,2022-07-23,2022-08-06,2022-08-06,14,14,0,2022,7,True,588
TWTPE,Taipei (Keelung),USLAX,Los Angeles,Maersk Line,Maersk Success,2022-07-25,2022-08-09,2022-08-09,15,15.5,0.5,2022,7,True,589
TWTPE,Taipei (Keelung),USLAX,Los Angeles,MSC,Wan Hai Pioneer,2022-07-23,2022-08-07,2022-08-07,15,15,0,2022,7,True,590
TWTXG,Taichung,USLAX,Los Angeles,Wan Hai Lines,Yang Ming Excellence,2022-07-29,2022-08-12,2022-08-12,14,14,0,2022,7,True,591
TWTPE,Taipei (Keelung),USSEA,Seattle,Evergreen Marine,MSC Triumph,2022-07-26,2022-08-09,2022-08-09,14,14,0,2022,7,True,592
TWTPE,Taipei (Keelung),USLGB,Long Beach,HMM,ONE Success,2022-07-28,2022-08-12,2022-08-12,15,15.2,0.2,2022,7,True,593
TWTPE,Taipei (Keelung),USSEA,Seattle,ONE (Ocean Network Express),MSC Fortune,2022-07-29,2022-08-12,2022-08-12,14,14.0,0.0,2022,7,True,594
TWTXG,Taichung,USOAK,Oakland,MSC,Maersk Success,2022-07-27,2022-08-10,2022-08-10,14,14.8,0.8,2022,7,True,595
TWKHH,Kaohsiung,USLGB,Long Beach,MSC,ONE Diamond,2022-07-27,2022-08-10,2022-08-10,14,14,0,2022,7,True,596
TWTPE,Taipei (Keelung),USLAX,Los Angeles,Maersk Line,ONE Fortune,2022-07-24,2022-08-08,2022-08-08,15,15,0,2022,7,True,597
TWTPE,Taipei (Keelung),USSEA,Seattle,Wan Hai Lines,Maersk Unity,2022-07-28,2022-08-11,2022-08-11,14,14,0,2022,7,True,598
TWTPE,Taipei (Keelung),USLGB,Long Beach,Yang Ming,ONE Crown,2022-07-27,2022-08-11,2022-08-11,15,15,0,2022,7,True,599
TWTPE,Taipei (Keelung),USOAK,Oakland,Evergreen Marine,Wan Hai Pioneer,2022-07-28,2022-08-11,2022-08-11,14,14.1,0.1,2022,7,True,600
TWTXG,Taichung,USLGB,Long Beach,HMM,Ever Progress,2022-07-30,2022-08-13,2022-08-13,14,14.4,0.4,2022,7,True,601
TWTPE,Taipei (Keelung),USSEA,Seattle,COSCO Shipping,Yang Ming Triumph,2022-08-02,2022-08-16,2022-08-16,14,14,0,2022,8,True,602
TWTXG,Taichung,USOAK,Oakland,ONE (Ocean Network Express),Yang Ming Star,2022-08-01,2022-08-15,2022-08-15,14,14.7,0.7,2022,8,True,603
TWTXG,Taichung,USOAK,Oakland,MSC,COSCO Progress,2022-08-05,2022-08-19,2022-08-20,14,15.5,1.5,2022,8,False,604
TWKHH,Kaohsiung,USLAX,Los Angeles,Yang Ming,Wan Hai Progress,2022-08-02,2022-08-16,2022-08-16,14,14.2,0.2,2022,8,True,605
TWTPE,Taipei (Keelung),USLGB,Long Beach,MSC,Maersk Unity,2022-08-01,2022-08-16,2022-08-18,15,17.8,2.8,2022,8,False,606
TWKHH,Kaohsiung,USLAX,Los Angeles,Yang Ming,Wan Hai Success,2022-08-02,2022-08-16,2022-08-16,14,14,0,2022,8,True,607
TWTXG,Taichung,USLAX,Los Angeles,Maersk Line,Maersk Progress,2022-08-05,2022-08-19,2022-08-19,14,14,0,2022,8,True,608
TWTPE,Taipei (Keelung),USSEA,Seattle,COSCO Shipping,Maersk Triumph,2022-07-31,2022-08-14,2022-08-14,14,14,0,2022,7,True,609
TWTPE,Taipei (Keelung),USSEA,Seattle,MSC,Yang Ming Pearl,2022-07-30,2022-08-13,2022-08-14,14,15.6,1.6,2022,7,False,610
TWTXG,Taichung,USSEA,Seattle,ONE (Ocean Network Express),Maersk Crown,2022-08-05,2022-08-19,2022-08-19,14,14.4,0.4,2022,8,True,611
TWTPE,Taipei (Keelung),USLGB,Long Beach,Yang Ming,MSC Diamond,2022-07-31,2022-08-15,2022-08-15,15,15,0,2022,7,True,612
TWTXG,Taichung,USSEA,Seattle,HMM,Wan Hai Success,2022-07-30,2022-08-13,2022-08-13,14,14,0,2022,7,True,613
TWKHH,Kaohsiung,USSEA,Seattle,Maersk Line,COSCO Glory,2022-07-31,2022-08-12,2022-08-12,12,12,0,2022,7,True,614
TWTXG,Taichung,USLAX,Los Angeles,ONE (Ocean Network Express),Wan Hai Progress,2022-08-04,2022-08-18,2022-08-23,14,19.0,5.0,2022,8,False,615
TWTXG,Taichung,USLAX,Los Angeles,COSCO Shipping,ONE Triumph,2022-07-30,2022-08-13,2022-08-13,14,14,0,2022,7,True,616
TWTXG,Taichung,USLAX,Los Angeles,Wan Hai Lines,MSC Triumph,2022-08-05,2022-08-19,2022-08-19,14,14,0,2022,8,True,617
TWTPE,Taipei (Keelung),USOAK,Oakland,HMM,Yang Ming Champion,2022-08-02,2022-08-16,2022-08-16,14,14.5,0.5,2022,8,True,618
TWTXG,Taichung,USOAK,Oakland,Maersk Line,COSCO Star,2022-08-01,2022-08-15,2022-08-15,14,14.2,0.2,2022,8,True,619
TWTPE,Taipei (Keelung),USLAX,Los Angeles,Evergreen Marine,Maersk Success,2022-08-03,2022-08-18,2022-08-18,15,15.0,0.0,2022,8,True,620
TWTPE,Taipei (Keelung),USOAK,Oakland,Maersk Line,Wan Hai Triumph,2022-08-12,2022-08-26,2022-08-26,14,14,0,2022,8,True,621
TWKHH,Kaohsiung,USOAK,Oakland,Maersk Line,Ever Ace,2022-08-11,2022-08-24,2022-08-24,13,13.2,0.2,2022,8,True,622
TWTPE,Taipei (Keelung),USLGB,Long Beach,Evergreen Marine,MSC Leader,2022-08-10,2022-08-25,2022-08-27,15,17.8,2.8,2022,8,False,623
TWTXG,Taichung,USLAX,Los Angeles,HMM,Ever Triumph,2022-08-08,2022-08-22,2022-08-23,14,15.5,1.5,2022,8,False,624
TWTXG,Taichung,USLAX,Los Angeles,Maersk Line,Wan Hai Triumph,2022-08-12,2022-08-26,2022-08-28,14,16.0,2.0,2022,8,False,625
TWTXG,Taichung,USOAK,Oakland,Maersk Line,Ever Star,2022-08-08,2022-08-22,2022-08-22,14,14,0,2022,8,True,626
TWKHH,Kaohsiung,USLGB,Long Beach,Wan Hai Lines,MSC Progress,2022-08-10,2022-08-24,2022-08-24,14,14,0,2022,8,True,627
TWTPE,Taipei (Keelung),USLGB,Long Beach,COSCO Shipping,COSCO Triumph,2022-08-08,2022-08-23,2022-08-23,15,15,0,2022,8,True,628
TWTXG,Taichung,USLAX,Los Angeles,Yang Ming,Yang Ming Unity,2022-08-08,2022-08-22,2022-08-22,14,14,0,2022,8,True,629
TWKHH,Kaohsiung,USSEA,Seattle,ONE (Ocean Network Express),ONE Pioneer,2022-08-12,2022-08-24,2022-08-25,12,13.0,1.0,2022,8,False,630
TWKHH,Kaohsiung,USSEA,Seattle,Wan Hai Lines,Yang Ming Unity,2022-08-11,2022-08-23,2022-08-23,12,12,0,2022,8,True,631
TWTXG,Taichung,USOAK,Oakland,Maersk Line,ONE Pearl,2022-08-06,2022-08-20,2022-08-21,14,15.9,1.9,2022,8,False,632
TWKHH,Kaohsiung,USLAX,Los Angeles,HMM,COSCO Progress,2022-08-07,2022-08-21,2022-08-21,14,14,0,2022,8,True,633
TWTPE,Taipei (Keelung),USSEA,Seattle,COSCO Shipping,COSCO Ace,2022-08-11,2022-08-25,2022-08-25,14,14,0,2022,8,True,634
TWTXG,Taichung,USSEA,Seattle,Maersk Line,Yang Ming Success,2022-08-09,2022-08-23,2022-08-23,14,14,0,2022,8,True,635
TWTPE,Taipei (Keelung),USLAX,Los Angeles,HMM,COSCO Ace,2022-08-08,2022-08-23,2022-08-23,15,15,0,2022,8,True,636
TWTPE,Taipei (Keelung),USLAX,Los Angeles,MSC,ONE Pioneer,2022-08-06,2022-08-21,2022-08-21,15,15.6,0.6,2022,8,True,637
TWTXG,Taichung,USOAK,Oakland,Maersk Line,Wan Hai Crown,2022-08-08,2022-08-22,2022-08-22,14,14,0,2022,8,True,638
TWKHH,Kaohsiung,USOAK,Oakland,ONE (Ocean Network Express),COSCO Crown,2022-08-11,2022-08-24,2022-08-24,13,13,0,2022,8,True,639
TWTXG,Taichung,USLGB,Long Beach,COSCO Shipping,Maersk Excellence,2022-08-11,2022-08-25,2022-08-25,14,14,0,2022,8,True,640
TWTPE,Taipei (Keelung),USLAX,Los Angeles,MSC,Wan Hai Ace,2022-08-17,2022-09-01,2022-09-01,15,15,0,2022,8,True,641
TWTPE,Taipei (Keelung),USSEA,Seattle,Yang Ming,Wan Hai Success,2022-08-13,2022-08-27,2022-08-29,14,16.2,2.2,2022,8,False,642
TWTPE,Taipei (Keelung),USLAX,Los Angeles,HMM,ONE Crown,2022-08-19,2022-09-03,2022-09-03,15,15,0,2022,8,True,643
TWTPE,Taipei (Keelung),USLGB,Long Beach,Evergreen Marine,COSCO Ace,2022-08-14,2022-08-29,2022-08-29,15,15,0,2022,8,True,644
TWKHH,Kaohsiung,USOAK,Oakland,ONE (Ocean Network Express),Ever Ace,2022-08-18,2022-08-31,2022-08-31,13,13,0,2022,8,True,645
TWTXG,Taichung,USOAK,Oakland,Yang Ming,MSC Progress,2022-08-16,2022-08-30,2022-08-30,14,14,0,2022,8,True,646
