port_code,port_name,date,berth_utilization,wait_time_hours,vessels_waiting,congestion_level
USLGB,Long Beach,2022-09-06,0.98,56.4,37,high
USOAK,Oakland,2022-09-06,0.768,28.7,32,medium
USSEA,Seattle,2022-09-06,0.799,30.2,34,medium
USLAX,Los Angeles,2022-09-07,0.98,46.0,42,high
USLGB,Long Beach,2022-09-07,0.98,52.6,45,high
USOAK,Oakland,2022-09-07,0.811,29.4,28,medium
USSEA,Seattle,2022-09-07,0.751,28.5,28,medium
USLAX,Los Angeles,2022-09-08,0.98,46.6,39,high
USLGB,Long Beach,2022-09-08,0.98,53.1,40,high
USOAK,Oakland,2022-09-08,0.969,52.6,45,high
USSEA,Seattle,2022-09-08,0.789,30.9,37,medium
USLAX,Los Angeles,2022-09-09,0.98,48.2,33,high
USLGB,Long Beach,2022-09-09,0.98,40.7,39,high
USOAK,Oakland,2022-09-09,0.827,38.5,26,medium
USSEA,Seattle,2022-09-09,0.884,43.5,35,high
USLAX,Los Angeles,2022-09-10,0.98,45.7,37,high
USLGB,Long Beach,2022-09-10,0.98,53.9,32,high
USOAK,Oakland,2022-09-10,0.947,41.8,37,high
USSEA,Seattle,2022-09-10,0.891,36.5,37,high
USLAX,Los Angeles,2022-09-11,0.98,46.8,39,high
USLGB,Long Beach,2022-09-11,0.98,53.5,44,high
USOAK,Oakland,2022-09-11,0.91,37.5,29,high
USSEA,Seattle,2022-09-11,0.948,43.0,33,high
USLAX,Los Angeles,2022-09-12,0.98,40.2,44,high
USLGB,Long Beach,2022-09-12,0.922,39.5,30,high
USOAK,Oakland,2022-09-12,0.98,47.5,34,high
USSEA,Seattle,2022-09-12,0.898,42.2,33,high
USLAX,Los Angeles,2022-09-13,0.98,46.7,39,high
USLGB,Long Beach,2022-09-13,0.956,43.8,40,high
USOAK,Oakland,2022-09-13,0.887,42.8,30,high
USSEA,Seattle,2022-09-13,0.706,22.3,32,medium
USLAX,Los Angeles,2022-09-14,0.98,42.5,46,high
USLGB,Long Beach,2022-09-14,0.98,47.4,46,high
USOAK,Oakland,2022-09-14,0.909,42.8,40,high
USSEA,Seattle,2022-09-14,0.809,31.7,33,medium
USLAX,Los Angeles,2022-09-15,0.98,45.4,33,high
USLGB,Long Beach,2022-09-15,0.94,47.3,34,high
USOAK,Oakland,2022-09-15,0.883,35.5,39,high
USSEA,Seattle,2022-09-15,0.717,19.1,27,medium
USLAX,Los Angeles,2022-09-16,0.98,50.8,35,high
USLGB,Long Beach,2022-09-16,0.98,46.2,33,high
USOAK,Oakland,2022-09-16,0.817,28.5,36,medium
USSEA,Seattle,2022-09-16,0.816,32.4,31,medium
USLAX,Los Angeles,2022-09-17,0.98,53.6,35,high
USLGB,Long Beach,2022-09-17,0.918,46.4,36,high
USOAK,Oakland,2022-09-17,0.964,54.3,35,high
USSEA,Seattle,2022-09-17,0.806,35.7,27,medium
USLAX,Los Angeles,2022-09-18,0.98,43.4,32,high
USLGB,Long Beach,2022-09-18,0.98,52.4,39,high
USOAK,Oakland,2022-09-18,0.853,38.1,37,high
USSEA,Seattle,2022-09-18,0.86,31.4,33,high
USLAX,Los Angeles,2022-09-19,0.98,38.5,34,high
USLGB,Long Beach,2022-09-19,0.98,49.5,33,high
USOAK,Oakland,2022-09-19,0.832,36.1,36,medium
USSEA,Seattle,2022-09-19,0.862,30.8,35,high
USLAX,Los Angeles,2022-09-20,0.98,56.4,38,high
USLGB,Long Beach,2022-09-20,0.98,41.0,34,high
USOAK,Oakland,2022-09-20,0.925,39.6,33,high
USSEA,Seattle,2022-09-20,0.722,21.0,27,medium
USLAX,Los Angeles,2022-09-21,0.98,54.4,40,high
USLGB,Long Beach,2022-09-21,0.899,32.3,36,high
USOAK,Oakland,2022-09-21,0.93,38.4,31,high
USSEA,Seattle,2022-09-21,0.816,28.6,37,medium
USLAX,Los Angeles,2022-09-22,0.973,49.5,40,high
USLGB,Long Beach,2022-09-22,0.94,52.0,32,high
USOAK,Oakland,2022-09-22,0.918,33.7,37,high
USSEA,Seattle,2022-09-22,0.893,46.0,40,high
USLAX,Los Angeles,2022-09-23,0.98,42.7,34,high
USLGB,Long Beach,2022-09-23,0.98,54.0,35,high
USOAK,Oakland,2022-09-23,0.967,44.5,37,high
USSEA,Seattle,2022-09-23,0.752,22.4,33,medium
USLAX,Los Angeles,2022-09-24,0.98,41.9,33,high
USLGB,Long Beach,2022-09-24,0.98,43.6,45,high
USOAK,Oakland,2022-09-24,0.923,43.7,43,high
USSEA,Seattle,2022-09-24,0.831,34.1,32,medium
USLAX,Los Angeles,2022-09-25,0.98,53.2,41,high
USLGB,Long Beach,2022-09-25,0.98,38.9,42,high
USOAK,Oakland,2022-09-25,0.949,43.0,39,high
USSEA,Seattle,2022-09-25,0.937,49.6,32,high
USLAX,Los Angeles,2022-09-26,0.98,54.3,41,high
USLGB,Long Beach,2022-09-26,0.98,56.7,40,high
USOAK,Oakland,2022-09-26,0.767,31.7,32,medium
USSEA,Seattle,2022-09-26,0.937,40.6,40,high
USLAX,Los Angeles,2022-09-27,0.98,56.8,40,high
USLGB,Long Beach,2022-09-27,0.959,37.6,40,high
USOAK,Oakland,2022-09-27,0.852,29.0,28,high
USSEA,Seattle,2022-09-27,0.937,41.6,35,high
USLAX,Los Angeles,2022-09-28,0.98,56.9,44,high
USLGB,Long Beach,2022-09-28,0.921,48.0,31,high
USOAK,Oakland,2022-09-28,0.975,43.5,42,high
USSEA,Seattle,2022-09-28,0.863,30.8,34,high
USLAX,Los Angeles,2022-09-29,0.98,53.9,36,high
USLGB,Long Beach,2022-09-29,0.98,40.9,41,high
USOAK,Oakland,2022-09-29,0.98,48.2,39,high
USSEA,Seattle,2022-09-29,0.92,41.6,37,high
USLAX,Los Angeles,2022-09-30,0.98,52.9,44,high
USLGB,Long Beach,2022-09-30,0.98,46.7,38,high
USOAK,Oakland,2022-09-30,0.776,25.8,30,medium
USSEA,Seattle,2022-09-30,0.757,27.6,26,medium
USLAX,Los Angeles,2022-10-01,0.98,52.6,38,high
USLGB,Long Beach,2022-10-01,0.98,38.8,38,high
USOAK,Oakland,2022-10-01,0.886,35.4,40,high
USSEA,Seattle,2022-10-01,0.851,32.8,28,high
USLAX,Los Angeles,2022-10-02,0.98,46.7,37,high
USLGB,Long Beach,2022-10-02,0.98,49.5,42,high
USOAK,Oakland,2022-10-02,0.98,39.1,37,high
USSEA,Seattle,2022-10-02,0.884,41.8,41,high
USLAX,Los Angeles,2022-10-03,0.98,55.1,34,high
USLGB,Long Beach,2022-10-03,0.972,38.2,40,high
USOAK,Oakland,2022-10-03,0.975,43.1,41,high
USSEA,Seattle,2022-10-03,0.98,40.6,41,high
USLAX,Los Angeles,2022-10-04,0.98,47.0,38,high
USLGB,Long Beach,2022-10-04,0.98,52.3,38,high
USOAK,Oakland,2022-10-04,0.942,44.4,39,high
USSEA,Seattle,2022-10-04,0.929,50.1,42,high
USLAX,Los Angeles,2022-10-05,0.98,47.4,45,high
USLGB,Long Beach,2022-10-05,0.98,45.9,37,high
USOAK,Oakland,2022-10-05,0.98,50.9,37,high
USSEA,Seattle,2022-10-05,0.873,44.3,30,high
USLAX,Los Angeles,2022-10-06,0.98,51.7,32,high
USLGB,Long Beach,2022-10-06,0.98,41.7,33,high
USOAK,Oakland,2022-10-06,0.958,51.1,45,high
USSEA,Seattle,2022-10-06,0.878,33.8,35,high
USLAX,Los Angeles,2022-10-07,0.98,45.3,35,high
USLGB,Long Beach,2022-10-07,0.98,41.8,44,high
USOAK,Oakland,2022-10-07,0.961,51.8,35,high
USSEA,Seattle,2022-10-07,0.778,24.8,31,medium
USLAX,Los Angeles,2022-10-08,0.98,48.9,43,high
USLGB,Long Beach,2022-10-08,0.98,51.8,45,high
USOAK,Oakland,2022-10-08,0.98,46.2,34,high
USSEA,Seattle,2022-10-08,0.828,26.7,30,medium
USLAX,Los Angeles,2022-10-09,0.98,52.6,33,high
USLGB,Long Beach,2022-10-09,0.98,43.9,32,high
USOAK,Oakland,2022-10-09,0.975,47.9,43,high
USSEA,Seattle,2022-10-09,0.79,23.5,35,medium
USLAX,Los Angeles,2022-10-10,0.98,43.0,43,high
USLGB,Long Beach,2022-10-10,0.98,57.3,33,high
USOAK,Oakland,2022-10-10,0.833,31.6,35,medium
USSEA,Seattle,2022-10-10,0.842,28.0,35,medium
USLAX,Los Angeles,2022-10-11,0.98,44.1,42,high
USLGB,Long Beach,2022-10-11,0.98,57.3,43,high
USOAK,Oakland,2022-10-11,0.98,49.3,45,high
USSEA,Seattle,2022-10-11,0.914,41.9,37,high
USLAX,Los Angeles,2022-10-12,0.98,43.9,43,high
USLGB,Long Beach,2022-10-12,0.98,51.3,42,high
USOAK,Oakland,2022-10-12,0.966,41.9,35,high
USSEA,Seattle,2022-10-12,0.902,45.4,34,high
USLAX,Los Angeles,2022-10-13,0.98,52.1,44,high
USLGB,Long Beach,2022-10-13,0.98,39.6,45,high
USOAK,Oakland,2022-10-13,0.953,44.3,36,high
USSEA,Seattle,2022-10-13,0.887,40.1,35,high
USLAX,Los Angeles,2022-10-14,0.98,43.5,39,high
USLGB,Long Beach,2022-10-14,0.98,46.8,45,high
USOAK,Oakland,2022-10-14,0.957,54.3,43,high
USSEA,Seattle,2022-10-14,0.786,24.3,34,medium
USLAX,Los Angeles,2022-10-15,0.98,38.9,39,high
USLGB,Long Beach,2022-10-15,0.98,40.1,46,high
USOAK,Oakland,2022-10-15,0.972,43.2,33,high
USSEA,Seattle,2022-10-15,0.951,38.8,44,high
USLAX,Los Angeles,2022-10-16,0.98,39.5,46,high
USLGB,Long Beach,2022-10-16,0.98,52.1,36,high
USOAK,Oakland,2022-10-16,0.844,29.5,39,medium
USSEA,Seattle,2022-10-16,0.816,37.2,37,medium
USLAX,Los Angeles,2022-10-17,0.98,43.0,40,high
USLGB,Long Beach,2022-10-17,0.98,48.2,39,high
USOAK,Oakland,2022-10-17,0.98,43.6,36,high
USSEA,Seattle,2022-10-17,0.894,32.6,29,high
USLAX,Los Angeles,2022-10-18,0.98,55.9,31,high
USLGB,Long Beach,2022-10-18,0.98,49.7,32,high
USOAK,Oakland,2022-10-18,0.98,50.9,33,high
USSEA,Seattle,2022-10-18,0.898,38.9,40,high
USLAX,Los Angeles,2022-10-19,0.98,53.4,33,high
USLGB,Long Beach,2022-10-19,0.98,41.6,35,high
USOAK,Oakland,2022-10-19,0.98,56.9,40,high
USSEA,Seattle,2022-10-19,0.759,29.1,35,medium
USLAX,Los Angeles,2022-10-20,0.98,50.9,33,high
USLGB,Long Beach,2022-10-20,0.972,55.2,35,high
USOAK,Oakland,2022-10-20,0.888,41.6,42,high
USSEA,Seattle,2022-10-20,0.97,41.6,44,high
USLAX,Los Angeles,2022-10-21,0.98,41.5,39,high
USLGB,Long Beach,2022-10-21,0.975,39.7,42,high
USOAK,Oakland,2022-10-21,0.98,52.3,47,high
USSEA,Seattle,2022-10-21,0.98,42.4,39,high
USLAX,Los Angeles,2022-10-22,0.98,56.5,32,high
USLGB,Long Beach,2022-10-22,0.98,46.7,46,high
USOAK,Oakland,2022-10-22,0.895,42.3,35,high
USSEA,Seattle,2022-10-22,0.843,37.9,38,medium
USLAX,Los Angeles,2022-10-23,0.98,43.7,37,high
USLGB,Long Beach,2022-10-23,0.98,38.5,34,high
USOAK,Oakland,2022-10-23,0.84,34.9,27,medium
USSEA,Seattle,2022-10-23,0.943,52.7,36,high
USLAX,Los Angeles,2022-10-24,0.98,43.2,33,high
USLGB,Long Beach,2022-10-24,0.98,50.4,32,high
USOAK,Oakland,2022-10-24,0.954,51.0,39,high
USSEA,Seattle,2022-10-24,0.913,38.6,32,high
USLAX,Los Angeles,2022-10-25,0.98,43.0,36,high
USLGB,Long Beach,2022-10-25,0.97,43.9,43,high
USOAK,Oakland,2022-10-25,0.98,53.3,41,high
USSEA,Seattle,2022-10-25,0.95,47.2,39,high
USLAX,Los Angeles,2022-10-26,0.98,39.6,31,high
USLGB,Long Beach,2022-10-26,0.98,54.7,32,high
USOAK,Oakland,2022-10-26,0.853,41.2,33,high
USSEA,Seattle,2022-10-26,0.828,34.4,27,medium
USLAX,Los Angeles,2022-10-27,0.98,49.1,35,high
USLGB,Long Beach,2022-10-27,0.98,40.2,43,high
USOAK,Oakland,2022-10-27,0.883,39.8,37,high
USSEA,Seattle,2022-10-27,0.751,23.9,33,medium
USLAX,Los Angeles,2022-10-28,0.98,50.3,36,high
USLGB,Long Beach,2022-10-28,0.98,53.4,38,high
USOAK,Oakland,2022-10-28,0.911,36.0,30,high
USSEA,Seattle,2022-10-28,0.905,33.5,40,high
USLAX,Los Angeles,2022-10-29,0.98,40.5,46,high
USLGB,Long Beach,2022-10-29,0.98,43.0,44,high
USOAK,Oakland,2022-10-29,0.98,56.5,46,high
USSEA,Seattle,2022-10-29,0.98,55.3,45,high
USLAX,Los Angeles,2022-10-30,0.98,41.2,45,high
USLGB,Long Beach,2022-10-30,0.98,42.1,37,high
USOAK,Oakland,2022-10-30,0.924,44.1,44,high
USSEA,Seattle,2022-10-30,0.813,25.6,34,medium
USLAX,Los Angeles,2022-10-31,0.98,48.7,43,high
USLGB,Long Beach,2022-10-31,0.98,39.4,43,high
USOAK,Oakland,2022-10-31,0.98,54.7,46,high
USSEA,Seattle,2022-10-31,0.98,42.4,32,high
USLAX,Los Angeles,2022-11-01,0.98,51.1,32,high
USLGB,Long Beach,2022-11-01,0.98,52.8,41,high
USOAK,Oakland,2022-11-01,0.902,40.2,35,high
USSEA,Seattle,2022-11-01,0.781,26.7,33,medium
USLAX,Los Angeles,2022-11-02,0.98,47.9,35,high
USLGB,Long Beach,2022-11-02,0.98,56.1,40,high
USOAK,Oakland,2022-11-02,0.775,24.4,27,medium
USSEA,Seattle,2022-11-02,0.915,39.8,33,high
USLAX,Los Angeles,2022-11-03,0.98,49.4,46,high
USLGB,Long Beach,2022-11-03,0.98,49.0,33,high
USOAK,Oakland,2022-11-03,0.788,28.1,29,medium
USSEA,Seattle,2022-11-03,0.846,34.1,35,medium
USLAX,Los Angeles,2022-11-04,0.98,47.4,37,high
USLGB,Long Beach,2022-11-04,0.98,44.5,37,high
USOAK,Oakland,2022-11-04,0.813,28.0,34,medium
USSEA,Seattle,2022-11-04,0.79,24.2,35,medium
USLAX,Los Angeles,2022-11-05,0.98,55.9,37,high
USLGB,Long Beach,2022-11-05,0.957,41.9,38,high
USOAK,Oakland,2022-11-05,0.888,36.7,28,high
USSEA,Seattle,2022-11-05,0.782,32.8,29,medium
USLAX,Los Angeles,2022-11-06,0.98,40.9,37,high
USLGB,Long Beach,2022-11-06,0.98,45.9,45,high
USOAK,Oakland,2022-11-06,0.821,36.8,30,medium
USSEA,Seattle,2022-11-06,0.904,43.0,31,high
USLAX,Los Angeles,2022-11-07,0.98,44.4,34,high
USLGB,Long Beach,2022-11-07,0.98,47.2,34,high
USOAK,Oakland,2022-11-07,0.98,47.0,44,high
USSEA,Seattle,2022-11-07,0.851,31.5,31,high
USLAX,Los Angeles,2022-11-08,0.98,47.8,38,high
USLGB,Long Beach,2022-11-08,0.905,33.9,38,high
USOAK,Oakland,2022-11-08,0.98,45.1,44,high
USSEA,Seattle,2022-11-08,0.897,38.0,40,high
USLAX,Los Angeles,2022-11-09,0.98,46.4,34,high
USLGB,Long Beach,2022-11-09,0.98,46.7,37,high
USOAK,Oakland,2022-11-09,0.943,47.8,31,high
USSEA,Seattle,2022-11-09,0.874,30.6,40,high
USLAX,Los Angeles,2022-11-10,0.98,55.3,39,high
USLGB,Long Beach,2022-11-10,0.98,39.7,42,high
USOAK,Oakland,2022-11-10,0.98,55.8,37,high
USSEA,Seattle,2022-11-10,0.89,33.1,33,high
USLAX,Los Angeles,2022-11-11,0.98,48.1,43,high
USLGB,Long Beach,2022-11-11,0.98,41.6,34,high
USOAK,Oakland,2022-11-11,0.777,22.5,32,medium
USSEA,Seattle,2022-11-11,0.868,36.3,32,high
USLAX,Los Angeles,2022-11-12,0.98,46.3,43,high
USLGB,Long Beach,2022-11-12,0.98,57.4,42,high
USOAK,Oakland,2022-11-12,0.979,55.9,40,high
USSEA,Seattle,2022-11-12,0.764,22.1,28,medium
USLAX,Los Angeles,2022-11-13,0.98,45.9,45,high
USLGB,Long Beach,2022-11-13,0.98,41.0,34,high
USOAK,Oakland,2022-11-13,0.971,50.6,46,high
USSEA,Seattle,2022-11-13,0.866,30.3,27,high
USLAX,Los Angeles,2022-11-14,0.98,47.0,39,high
USLGB,Long Beach,2022-11-14,0.98,48.1,42,high
USOAK,Oakland,2022-11-14,0.769,21.7,33,medium
USSEA,Seattle,2022-11-14,0.732,20.7,28,medium
USLAX,Los Angeles,2022-11-15,0.98,39.9,33,high
USLGB,Long Beach,2022-11-15,0.98,42.3,37,high
USOAK,Oakland,2022-11-15,0.938,39.2,40,high
USSEA,Seattle,2022-11-15,0.946,43.6,43,high
USLAX,Los Angeles,2022-11-16,0.98,44.5,43,high
USLGB,Long Beach,2022-11-16,0.905,45.2,34,high
USOAK,Oakland,2022-11-16,0.98,52.8,34,high
USSEA,Seattle,2022-11-16,0.883,35.9,31,high
USLAX,Los Angeles,2022-11-17,0.974,55.4,46,high
USLGB,Long Beach,2022-11-17,0.98,51.8,34,high
USOAK,Oakland,2022-11-17,0.98,48.4,34,high
USSEA,Seattle,2022-11-17,0.857,29.5,34,high
USLAX,Los Angeles,2022-11-18,0.98,39.4,46,high
USLGB,Long Beach,2022-11-18,0.98,40.8,34,high
USOAK,Oakland,2022-11-18,0.913,46.2,32,high
USSEA,Seattle,2022-11-18,0.827,31.7,32,medium
USLAX,Los Angeles,2022-11-19,0.98,56.0,37,high
USLGB,Long Beach,2022-11-19,0.98,55.7,39,high
USOAK,Oakland,2022-11-19,0.816,30.6,36,medium
USSEA,Seattle,2022-11-19,0.764,24.3,36,medium
USLAX,Los Angeles,2022-11-20,0.98,45.7,36,high
USLGB,Long Beach,2022-11-20,0.98,55.2,42,high
USOAK,Oakland,2022-11-20,0.789,30.5,35,medium
USSEA,Seattle,2022-11-20,0.786,24.6,34,medium
USLAX,Los Angeles,2022-11-21,0.98,46.0,36,high
USLGB,Long Beach,2022-11-21,0.98,54.1,31,high
USOAK,Oakland,2022-11-21,0.784,30.6,31,medium
USSEA,Seattle,2022-11-21,0.863,39.7,29,high
USLAX,Los Angeles,2022-11-22,0.98,51.9,34,high
USLGB,Long Beach,2022-11-22,0.95,53.1,37,high
USOAK,Oakland,2022-11-22,0.98,42.0,32,high
USSEA,Seattle,2022-11-22,0.746,27.2,26,medium
USLAX,Los Angeles,2022-11-23,0.98,46.2,41,high
USLGB,Long Beach,2022-11-23,0.98,55.1,33,high
USOAK,Oakland,2022-11-23,0.844,32.7,30,medium
USSEA,Seattle,2022-11-23,0.786,29.6,31,medium
USLAX,Los Angeles,2022-11-24,0.98,40.3,32,high
USLGB,Long Beach,2022-11-24,0.98,38.5,40,high
USOAK,Oakland,2022-11-24,0.98,40.3,39,high
USSEA,Seattle,2022-11-24,0.703,21.1,33,medium
USLAX,Los Angeles,2022-11-25,0.98,56.3,38,high
USLGB,Long Beach,2022-11-25,0.98,46.6,37,high
USOAK,Oakland,2022-11-25,0.98,57.6,44,high
USSEA,Seattle,2022-11-25,0.934,46.3,35,high
USLAX,Los Angeles,2022-11-26,0.98,40.8,36,high
USLGB,Long Beach,2022-11-26,0.98,52.5,36,high
USOAK,Oakland,2022-11-26,0.924,37.2,35,high
USSEA,Seattle,2022-11-26,0.806,33.9,36,medium
USLAX,Los Angeles,2022-11-27,0.98,40.8,41,high
USLGB,Long Beach,2022-11-27,0.98,40.4,31,high
USOAK,Oakland,2022-11-27,0.98,44.5,44,high
USSEA,Seattle,2022-11-27,0.775,24.4,33,medium
USLAX,Los Angeles,2022-11-28,0.98,43.8,43,high
USLGB,Long Beach,2022-11-28,0.98,54.3,31,high
USOAK,Oakland,2022-11-28,0.851,35.2,36,high
USSEA,Seattle,2022-11-28,0.769,30.6,31,medium
USLAX,Los Angeles,2022-11-29,0.98,42.5,35,high
USLGB,Long Beach,2022-11-29,0.98,39.5,44,high
USOAK,Oakland,2022-11-29,0.806,33.3,36,medium
USSEA,Seattle,2022-11-29,0.933,38.5,40,high
USLAX,Los Angeles,2022-11-30,0.98,53.3,44,high
USLGB,Long Beach,2022-11-30,0.98,44.1,44,high
USOAK,Oakland,2022-11-30,0.98,41.5,31,high
USSEA,Seattle,2022-11-30,0.798,28.9,31,medium
USLAX,Los Angeles,2022-12-01,0.931,41.2,30,high
USLGB,Long Beach,2022-12-01,0.972,43.1,45,high
USOAK,Oakland,2022-12-01,0.827,33.3,27,medium
USSEA,Seattle,2022-12-01,0.677,19.8,31,low
USLAX,Los Angeles,2022-12-02,0.845,40.4,31,medium
USLGB,Long Beach,2022-12-02,0.952,46.6,37,high
USOAK,Oakland,2022-12-02,0.776,32.0,27,medium
USSEA,Seattle,2022-12-02,0.78,24.6,33,medium
USLAX,Los Angeles,2022-12-03,0.978,51.4,41,high
USLGB,Long Beach,2022-12-03,0.786,23.3,26,medium
USOAK,Oakland,2022-12-03,0.863,32.2,29,high
USSEA,Seattle,2022-12-03,0.726,23.4,26,medium
USLAX,Los Angeles,2022-12-04,0.98,46.5,39,high
USLGB,Long Beach,2022-12-04,0.845,36.5,29,medium
USOAK,Oakland,2022-12-04,0.77,31.8,32,medium
USSEA,Seattle,2022-12-04,0.809,26.5,28,medium
USLAX,Los Angeles,2022-12-05,0.98,43.6,41,high
USLGB,Long Beach,2022-12-05,0.95,48.8,38,high
USOAK,Oakland,2022-12-05,0.815,31.6,28,medium
USSEA,Seattle,2022-12-05,0.784,26.3,34,medium
USLAX,Los Angeles,2022-12-06,0.94,52.1,33,high
USLGB,Long Beach,2022-12-06,0.847,35.2,36,medium
USOAK,Oakland,2022-12-06,0.758,24.1,25,medium
USSEA,Seattle,2022-12-06,0.803,33.6,27,medium
USLAX,Los Angeles,2022-12-07,0.98,43.7,32,high
USLGB,Long Beach,2022-12-07,0.98,42.7,46,high
USOAK,Oakland,2022-12-07,0.846,29.4,34,medium
USSEA,Seattle,2022-12-07,0.796,30.6,35,medium
USLAX,Los Angeles,2022-12-08,0.857,33.5,35,high
USLGB,Long Beach,2022-12-08,0.85,31.8,28,high
USOAK,Oakland,2022-12-08,0.674,16.2,29,low
USSEA,Seattle,2022-12-08,0.647,16.4,27,low
USLAX,Los Angeles,2022-12-09,0.98,49.0,45,high
USLGB,Long Beach,2022-12-09,0.883,39.8,31,high
USOAK,Oakland,2022-12-09,0.824,35.1,35,medium
USSEA,Seattle,2022-12-09,0.638,14.2,23,low
USLAX,Los Angeles,2022-12-10,0.98,55.7,37,high
USLGB,Long Beach,2022-12-10,0.98,38.5,43,high
USOAK,Oakland,2022-12-10,0.722,21.9,27,medium
USSEA,Seattle,2022-12-10,0.686,21.5,27,low
USLAX,Los Angeles,2022-12-11,0.908,48.7,38,high
USLGB,Long Beach,2022-12-11,0.893,33.7,39,high
USOAK,Oakland,2022-12-11,0.664,19.0,28,low
USSEA,Seattle,2022-12-11,0.631,12.0,21,low
USLAX,Los Angeles,2022-12-12,0.952,42.1,30,high
USLGB,Long Beach,2022-12-12,0.955,53.7,45,high
USOAK,Oakland,2022-12-12,0.893,33.3,35,high
USSEA,Seattle,2022-12-12,0.714,23.0,24,medium
USLAX,Los Angeles,2022-12-13,0.98,53.4,37,high
USLGB,Long Beach,2022-12-13,0.972,51.7,43,high
USOAK,Oakland,2022-12-13,0.694,22.9,30,low
USSEA,Seattle,2022-12-13,0.635,12.6,20,low
USLAX,Los Angeles,2022-12-14,0.98,39.4,44,high
USLGB,Long Beach,2022-12-14,0.891,40.6,28,high
USOAK,Oakland,2022-12-14,0.775,25.1,25,medium
USSEA,Seattle,2022-12-14,0.7,20.9,30,low
USLAX,Los Angeles,2022-12-15,0.883,35.0,29,high
USLGB,Long Beach,2022-12-15,0.845,37.3,36,medium
USOAK,Oakland,2022-12-15,0.763,26.1,33,medium
USSEA,Seattle,2022-12-15,0.63,14.2,26,low
USLAX,Los Angeles,2022-12-16,0.884,43.8,37,high
USLGB,Long Beach,2022-12-16,0.814,26.6,31,medium
USOAK,Oakland,2022-12-16,0.727,19.9,24,medium
USSEA,Seattle,2022-12-16,0.612,9.8,28,low
USLAX,Los Angeles,2022-12-17,0.98,45.8,43,high
USLGB,Long Beach,2022-12-17,0.883,34.8,30,high
USOAK,Oakland,2022-12-17,0.7,17.8,30,medium
USSEA,Seattle,2022-12-17,0.796,33.1,31,medium
USLAX,Los Angeles,2022-12-18,0.98,48.5,36,high
USLGB,Long Beach,2022-12-18,0.834,36.1,34,medium
USOAK,Oakland,2022-12-18,0.703,16.6,25,medium
USSEA,Seattle,2022-12-18,0.616,10.0,28,low
USLAX,Los Angeles,2022-12-19,0.98,43.6,43,high
USLGB,Long Beach,2022-12-19,0.949,40.4,42,high
USOAK,Oakland,2022-12-19,0.788,23.1,29,medium
USSEA,Seattle,2022-12-19,0.738,22.5,24,medium
USLAX,Los Angeles,2022-12-20,0.98,48.9,42,high
USLGB,Long Beach,2022-12-20,0.885,40.2,32,high
USOAK,Oakland,2022-12-20,0.676,19.9,30,low
USSEA,Seattle,2022-12-20,0.655,18.4,22,low
USLAX,Los Angeles,2022-12-21,0.98,48.7,46,high
USLGB,Long Beach,2022-12-21,0.98,53.4,33,high
USOAK,Oakland,2022-12-21,0.838,32.2,35,medium
USSEA,Seattle,2022-12-21,0.794,31.0,32,medium
USLAX,Los Angeles,2022-12-22,0.98,42.6,35,high
USLGB,Long Beach,2022-12-22,0.932,48.6,41,high
USOAK,Oakland,2022-12-22,0.699,17.8,30,low
USSEA,Seattle,2022-12-22,0.687,21.7,23,low
USLAX,Los Angeles,2022-12-23,0.882,33.4,40,high
USLGB,Long Beach,2022-12-23,0.825,32.4,36,medium
USOAK,Oakland,2022-12-23,0.815,25.4,28,medium
USSEA,Seattle,2022-12-23,0.646,14.0,26,low
USLAX,Los Angeles,2022-12-24,0.98,53.5,38,high
USLGB,Long Beach,2022-12-24,0.792,30.1,37,medium
USOAK,Oakland,2022-12-24,0.728,19.1,34,medium
USSEA,Seattle,2022-12-24,0.647,14.0,24,low
USLAX,Los Angeles,2022-12-25,0.953,48.8,36,high
USLGB,Long Beach,2022-12-25,0.98,44.8,43,high
USOAK,Oakland,2022-12-25,0.816,28.4,31,medium
USSEA,Seattle,2022-12-25,0.714,21.7,28,medium
USLAX,Los Angeles,2022-12-26,0.98,45.8,40,high
USLGB,Long Beach,2022-12-26,0.889,40.1,38,high
USOAK,Oakland,2022-12-26,0.838,36.6,29,medium
USSEA,Seattle,2022-12-26,0.608,13.0,19,low
USLAX,Los Angeles,2022-12-27,0.98,56.8,45,high
USLGB,Long Beach,2022-12-27,0.79,27.2,35,medium
USOAK,Oakland,2022-12-27,0.866,41.3,31,high
USSEA,Seattle,2022-12-27,0.639,15.8,30,low
USLAX,Los Angeles,2022-12-28,0.98,43.1,44,high
USLGB,Long Beach,2022-12-28,0.789,24.7,37,medium
USOAK,Oakland,2022-12-28,0.828,31.2,26,medium
USSEA,Seattle,2022-12-28,0.815,29.9,35,medium
USLAX,Los Angeles,2022-12-29,0.98,39.8,44,high
USLGB,Long Beach,2022-12-29,0.98,39.0,37,high
USOAK,Oakland,2022-12-29,0.681,15.1,28,low
USSEA,Seattle,2022-12-29,0.782,24.3,27,medium
USLAX,Los Angeles,2022-12-30,0.98,52.8,42,high
USLGB,Long Beach,2022-12-30,0.855,34.3,31,high
USOAK,Oakland,2022-12-30,0.846,37.3,30,medium
USSEA,Seattle,2022-12-30,0.641,16.3,20,low
USLAX,Los Angeles,2022-12-31,0.98,50.1,39,high
USLGB,Long Beach,2022-12-31,0.98,47.0,33,high
